name,category
American Spirit,Cigarette
Dunhill,Cigarette
Hestia,Cigarette
Nat’s Cigarettes,Cigarette
State Express,Cigarette
Basic,Cigarette
Benson & Hedges,Cigarette
Camel,Cigarette
Capri,Cigarette
Carlton,Cigarette
Doral,Cigarette
Eve,Cigarette
GPC,Cigarette
Kamel,Cigarette
Kent,Cigarette
Kool,Cigarette
L&M,Cigarette
Lucky Strike,Cigarette
Marlboro,Cigarette
Merit,Cigarette
Misty,Cigarette
More,Cigarette
Newport Menthol,Cigarette
Newport Non-Menthol,Cigarette
Now,Cigarette
Old Gold,Cigarette
Pall Mall,Cigarette
Parliament,Cigarette
Salem,Cigarette
Tareyton,Cigarette
TRUE,Cigarette
Vantage,Cigarette
Virginia Slim,Cigarette
Winston,Cigarette
Crown,Cigarette
Edgefield,Cigarette
Grand Prix,Cigarette
Liggett Select,Cigarette
Mainstreet,Cigarette
Maverick,Cigarette
Montclair,Cigarette
Montego,Cigarette
Pyramid,Cigarette
Seneca,Cigarette
Smokin Joe,Cigarette
Winner,Cigarette
Camel Snus,Snus
Copenhagen,Snuff
Cougar,Snuff
Garrett,Snuff
General,Snus
Grizzly,Snuff
Hawken,Snuff
Husky,Snuff
Kayak,Snuff
Kodiak,Snuff
Longhorn,Snuff
Red Seal,Snuff
Skoal,Snuff
Smokey Mountain,Snuff
Stokers,Snuff
Timberwolf,Snuff
Fre,Nic Pouch
On,Nic Pouch
Rogue,Nic Pouch
Velo Max,Nic Pouch
Zyn,Nic Pouch
America's Best,Leaf/Plug Chew
Beechnut,Leaf/Plug Chew
Big Duke,Leaf/Plug Chew
Bowie,Leaf/Plug Chew
Day's Work,Leaf/Plug Chew
Lancaster,Leaf/Plug Chew
Levi Garrett,Leaf/Plug Chew
Starr,Leaf/Plug Chew
Stokers,Leaf/Plug Chew
WB Cut,Leaf/Plug Chew
Al Capone,Cigars
Backwood,Cigars
Black & Mild,Cigars
Blackstone,Cigars
Djarum,Cigars
Dutch,Cigars
Dutchmaster,Cigars
Game,Cigars
Game Leaf,Cigars
Game Mini,Cigars
Garcia Vega,Cigars
Optimo,Cigars
Swisher Sweet BLK,Cigars
Swisher Sweet,Cigars
Swisher Sweet Leaf,Cigars
Swisher Sweet Little,Cigars
Swisher Sweet Mini,Cigars
White Owl,Cigars
White Owl Mini,Cigars
Zig Zag Leaf,Cigars
Antonio y Cleopatra,Cigars
Al Capone,Wraps
Platinum 2pk,Wraps
Hempire,Wraps
High Hemp,Wraps
High Tea Herbal,Wraps
Karma Hemp,Wraps
Twisted Hemp,Wraps
Twisted Palm,Wraps
Wild Hemp,Wraps
Zig Zag Hemp,Wraps
Zig Zag Rillo,Wraps
Zig Zag,Wraps
Bugler,Papers
Hempire,Papers
JOB,Papers
Juicy Jay,Papers
OCB,Papers
Raw,Papers
Rolling,Papers
Roll-It,Papers
Top,Papers
Zig Zag,Papers
EZ Wider,Cones
Hempire,Cones
JOB,Cones
OCB,Cones
Original,Cones
Pop Cones,Cones
Raw,Cones
Zig Zag,Cones
Blu,E-Cig
Loon Maxx 5% 2000 puffs,E-Cig
Green Smart,E-Cig
Juul,E-Cig
Loon Air 5% 5000 puffs,E-Cig
Vuse Alto,E-Cig
NJoy,E-Cig
American Spirit,Cigarette/Pipe Pouch
Bali Shag,Cigarette/Pipe Pouch
Bugler,Cigarette/Pipe Pouch
Drum,Cigarette/Pipe Pouch
Gambler,Cigarette/Pipe Pouch
Largo,Cigarette/Pipe Pouch
Raw,Cigarette/Pipe Pouch
Stokkebye,Cigarette/Pipe Pouch
Tin Star,Cigarette/Pipe Pouch
Top,Cigarette/Pipe Pouch
4aces,Cigarette/Pipe Pouch
American Spirit,Cigarette Tobacco Can
Bali Shag,Cigarette Tobacco Can
Bugler,Cigarette Tobacco Can
Drum,Cigarette Tobacco Can
Stokkebye,Cigarette Tobacco Can
Top,Cigarette Tobacco Can
Gambler,Cigarette/Pipe Tobacco Bag
Goodstuff,Cigarette/Pipe Tobacco Bag
High Card,Cigarette/Pipe Tobacco Bag
Largo,Cigarette/Pipe Tobacco Bag
Ohm,Cigarette/Pipe Tobacco Bag
Smokin Joe,Cigarette/Pipe Tobacco Bag
Smokin' G,Cigarette/Pipe Tobacco Bag
Tin Star,Cigarette/Pipe Tobacco Bag
4aces,Cigarette/Pipe Tobacco Bag
Borkum Riff,Pipe Tobacco Bag/Can/Pouch
Captain Black,Pipe Tobacco Bag/Can/Pouch
Carter Hall,Pipe Tobacco Bag/Can/Pouch
Half & Half,Pipe Tobacco Bag/Can/Pouch
Paladin,Pipe Tobacco Bag/Can/Pouch
Sir W Raleigh,Pipe Tobacco Bag/Can/Pouch
Smoker Pride,Pipe Tobacco Bag/Can/Pouch
Super Value,Pipe Tobacco Bag/Can/Pouch
Velvet,Pipe Tobacco Bag/Can/Pouch
Gambler,Cigarette Tubes
Gambler Tube Cut,Cigarette Tubes
Premier,Cigarette Tubes
Top,Cigarette Tubes
Zen,Cigarette Tubes
Zig Zag,Cigarette Tubes
4aces,Cigarette Tubes
